LAGOSEXPRESS,PRECIO,FECHA INICIO,FECHA FIN
EXPRESS ADULTO," $99.000,00",1/1/2025,31/3/2025
EXPRESS ADULTO," $115.000,00",1/4/2025,30/6/2025
EXPRESS ADULTO," $130.500,00",1/7/2025,30/9/2025
EXPRESS JUBILADO," $99.000,00",1/1/2025,31/3/2025
EXPRESS JUBILADO," $115.000,00",1/4/2025,30/6/2025
EXPRESS JUBILADO," $130.500,00",1/7/2025,30/9/2025
EXPRESS MENOR," $79.000,00",1/1/2025,31/3/2025
EXPRESS MENOR," $92.000,00",1/4/2025,30/6/2025
EXPRESS MENOR," $104.500,00",1/7/2025,30/9/2025
EXPRESS CUD," $99.000,00",1/1/2025,31/3/2025
EXPRESS CUD," $115.000,00",1/4/2025,30/6/2025
EXPRESS CUD," $130.500,00",1/7/2025,30/9/2025
EXPRESS INFOA," $79.000,00",1/1/2025,31/3/2025
EXPRESS INFOA," $92.000,00",1/4/2025,30/6/2025
EXPRESS INFOA," $104.500,00",1/7/2025,30/9/2025
