TREN FIN DEL MUNDO,PRECIO,FECHA INICIO,FECHA FIN
ADULTO," $50.000,00",1/1/2025,30/4/2025
ADULTO," $62.000,00",1/5/2025,30/9/2025
JUBILADO," $32.000,00",1/1/2025,30/4/2025
JUBILADO," $40.300,00",1/5/2025,30/9/2025
MENOR," $25.000,00",1/1/2025,30/4/2025
MENOR," $31.000,00",1/5/2025,30/9/2025
CUD," $25.000,00",1/1/2025,30/4/2025
CUD," $31.000,00",1/5/2025,30/9/2025
EXTRANJERO," $62.000,00",1/1/2025,30/4/2025
EXTRANJERO," $76.900,00",1/5/2025,30/9/2025
MENOR EXTRANJERO," $31.000,00",1/1/2025,30/4/2025
MENOR EXTRANJERO," $38.450,00",1/5/2025,30/9/2025
RESIDENTE (7 en adelante)," $25.000,00",1/1/2025,30/4/2025
RESIDENTE (7 en adelante)," $31.000,00",1/5/2025,30/9/2025
